TUCASEID	WEIGHT
20170403171298	4317.0
20170403171328	6336.0
20170403172070	5348.0
20170403172407	4289.0
20170403172432	5312.0
20170403172521	4259.0
20170404171416	6336.0
20170404171871	5348.0
20170503171464	5312.0
20170504170729	6336.0
20170504171364	4928.0
20170504171392	5312.0
20170504172456	3018.0
20170505171078	5964.0
20170505171546	8532.0
20170603172291	6336.0
20170604170616	6336.0
20170604170868	6084.0
20170604171509	6336.0
20170604172028	4317.0
20170605170094	5602.0
20170605170884	4263.0
20170605171196	6084.0
20170605171475	4317.0
20170605171498	6336.0
20170605171975	5348.0
20170605172151	5348.0
20170605172315	4289.0
20170605172440	4317.0
20170606172286	21150.0
20170704170770	5348.0
20170705171989	3018.0
20170705172282	6336.0
20170706170101	6336.0
20170706170741	8629.0
20170706171334	8532.0
20170706171560	4579.0
20170706171572	8629.0
20170706171853	5312.0
20170706171956	4263.0
20170706172178	4259.0
20170706172180	4928.0
20170706172241	25272.0
20170706172411	8532.0
20170706172506	6996.0
20170706172540	8629.0
20170707170953	8532.0
20170707171020	8532.0
20170707171191	5244.0
20170707171385	5244.0
20170707171426	3620.0
20170707171649	8629.0
20170707172347	5244.0
20170806170730	8629.0
20170806171720	6420.0
20170806172260	14174.0
20170807171546	6084.0
20170807172006	6084.0
20170807172036	5964.0
20170807172529	8532.0
20170807172549	4289.0
20170907170750	8532.0
20170907171677	5312.0
20170907172027	3018.0
20170907172314	8532.0
20170908170957	3018.0
20170908171222	5602.0
20170908171239	3018.0
20170908171407	1245.0
20170908171465	4289.0
20170908171499	4259.0
20170908171636	2452.0
20170908171717	6084.0
20170908172241	5312.0
20170908172518	14174.0
20170909170139	8629.0
20170909172263	5244.0
20171008170976	4259.0
20171008172192	6084.0
20171009170026	5312.0
20171009170036	8629.0
20171009170678	5312.0
20171009171009	4259.0
20171009171159	8629.0
20171009171183	4259.0
20171009171301	4579.0
20171009171441	7050.0
20171009171703	6336.0
20171009171857	4317.0
20171009171880	5602.0
20171009172090	4289.0
20171009172162	6336.0
20171009172247	6084.0
20171009172498	8184.0
20171010171029	4579.0
20171010172520	8629.0
20171109170652	16854.0
20171110170779	8532.0
20171110171619	5348.0
20171110171625	3620.0
20171110171847	5348.0
20171110172095	5602.0
20171110172143	4263.0
20171111172225	5244.0
20171210170859	6420.0
20171210171486	8629.0
20171211170092	17850.0
20171211170619	2452.0
20171211170886	2523.0
20171211171023	8532.0
20171211171091	5312.0
20171211171309	5312.0
20171211171534	4579.0
20171211171538	5312.0
20171211171646	4579.0
20171211171880	6084.0
20171211172093	2765.0
20171211172120	5244.0
20171211172387	5348.0
20171211172486	5337.0
20171212171373	8532.0
20180101180524	8532.0
20180101180788	8532.0
20180101180857	6084.0
20180111170673	5964.0
20180111171011	4259.0
20180111171806	2452.0
20180111172162	4289.0
20180111172424	4289.0
20180112170042	2523.0
